Year,Value
1991-01-01,19.0
1992-01-01,17.0
1993-01-01,14.0
1994-01-01,12.5
1995-01-01,15.0
1996-01-01,14.5
1997-01-01,13.0
1998-01-01,12.0
1999-01-01,11.5
2000-01-01,11.0
2001-01-01,10.5
2002-01-01,10.0
2003-01-01,9.0
2004-01-01,8.5
2005-01-01,8.0
2006-01-01,8.5
2007-01-01,9.0
2008-01-01,10.0
2009-01-01,8.5
2010-01-01,7.5
2011-01-01,8.5
2012-01-01,9.0
2013-01-01,8.5
2014-01-01,8.0
2015-01-01,7.5
2016-01-01,6.75
2017-01-01,6.25
2018-01-01,6.5
2019-01-01,5.75
2020-01-01,4.0
2021-01-01,4.0
2022-01-01,5.9
2023-01-01,6.5
2024-01-01,6.5
