Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28-01-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.050808989,8.158273374,8.155909898,8.022100499,7.773893992,7.681622694,7.641906367,7.682637808,7.729930109,7.668768297,7.553884524,7.511493389,7.47204242,7.27852247,7.100413719,7.0356006,6.980588915,6.959262329,7.029334934,7.339488853,7.303350943,7.108737404,6.88972223,6.862428576,6.930941259,7.07442881,7.214915019,7.244842827,7.459106368,7.974301641,8.407411547,7.86947019,7.676547734,7.571697493
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.972,7.958,7.908,7.883,7.868,7.878,7.863,7.869,7.877,7.897,7.973,7.867,7.844,7.794,7.878,7.897,7.841,7.879,7.808,7.809,7.83,7.875,7.921,7.915,9.032,10.116,11.184,11.192,11.187,11.71,12.006,14.1,14.008,13.687
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.157893139,4.246713558,4.367033295,4.390097202,4.392768878,4.326134016,4.296117843,4.304200998,4.489677291,4.530843482,4.465195562,4.273706486,4.167978939,4.086891461,4.096464677,3.969279411,3.94805842,3.967224599,4.002855677,3.989520167,3.967212119,3.980101823,3.707793964,3.887750839,4.170142906,4.167580136,4.283995919,4.334377139,4.390763738,4.795318012,4.666634031,3.593353566,3.200800933,3.172420642
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.816,16.959,17.44,17.444,16.978,16.177,16.064,16.29,16.543,16.646,16.668,16.432,16.445,16.313,16.295,16.123,16.066,16.152,16.383,16.595,16.77,16.539,16.464,16.372,16.472,16.572,16.617,16.602,16.497,16.696,15.799,14.124,14.051,14.02
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.304,30.007,25.251,20.835,14.607,13.928,16.872,20.042,20.835,19.023,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,10.689
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.90975731,12.15369129,12.90974597,13.01218339,13.50492052,12.45859439,11.99636,11.95199895,12.14105311,12.62272319,12.49820213,12.50622767,12.44969664,11.42711647,11.2344113,10.51764256,10.14567808,9.875159014,9.460792169,9.571788252,10.68739514,11.06509666,11.03500189,11.03192616,11.15244643,10.86171614,11.1152019,10.65464065,10.21371829,11.29515036,10.86274891,9.744130956,9.313388632,9.265924193
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.629,1.715,1.901,1.834,1.8,1.836,1.906,2.068,2.195,2.25,2.443,2.659,2.903,2.965,3.12,2.964,2.934,2.818,2.932,2.798,2.587,2.323,2.125,1.999,1.793,1.64,2.462,2.236,2.331,4.294,3.105,2.872,2.151,2.16
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,7.577,8.088,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.15
