Year,esi_score
1991,0.9040377600158462
1992,0.7416743474793962
1993,0.505013520979558
1994,0.6036971848496602
1995,0.6221491880245262
1996,0.5657523465955986
1997,0.5249279900997215
1998,0.7158050448162256
1999,0.3488094790477822
2000,0.38179977008925653
2001,0.35531641491482285
2002,0.38690801138762343
2003,0.2986880870611591
2004,0.28703764162117634
2005,0.2942068240718648
2006,0.3579168930804929
2007,0.3921655620832284
2008,0.5450549286600852
2009,0.5594227592799351
2010,0.5793320890189564
2011,0.5163706870709891
2012,0.54448792167963
2013,0.5484144476693728
2014,0.3991433419932601
2015,0.31600097239800096
2016,0.302577247555484
2017,0.25441541319710026
2018,0.28696107381195607
2019,0.2406220423066185
2020,0.5250328455116374
2021,0.18820367378030395
2022,0.21536329962045161
2023,0.12784857468882205
2024,0.1379225022742315
